kdpsttbpst,kdjentbpst,nmpsttbpst,kdbiltbpst,kdgrutbpst,kdasntbpst,nomortbpst
54042,A,MANAJEMEN SUMBER DAYA PERAIRAN,O,,A,
54043,A,ILMU PERAIRAN,O,,A,
54051,A,ILMU KEHUTANAN,R,,A,268
54101,B,AGRIBISNIS,D,,A,243
54102,B,EKONOMI PERTANIAN,D,,A,244
54103,B,PENYULUHAN DAN KOMUNIKASI PEMBANGUNAN PERTANIAN,D,,A,
54104,B,AGRONOMI,D,,A,
54105,B,ILMU TANAH,D,,A,
54106,B,ILMU HAMA DAN PENYAKIT TUMBUHAN,D,,A,
54107,B,PEMULIAAN TANAMAN DAN BIOTEKNOLOGI,D,,A,
54108,B,ILMU PERTANIAN,D,,A,
54110,B,AGROKLIMATOLOGI,D,,A,
54131,B,PETERNAKAN,P,,A,258
54132,B,BIOLOGI REPRODUKSI,P,,A,
54141,B,ILMU KELAUTAN,O,,A,261
54142,B,SUMBER DAYA PERAIRAN PESISIR DAN KELAUTAN,O,,A,
54143,B,BUDIDAYA PERAIRAN,O,,A,
54145,B,AGRIBISNIS PERIKANAN,O,,A,
54146,B,MANAJEMEN SUMBER DAYA PERAIRAN,O,,A,
54147,B,ILMU PERAIRAN,O,,A,
54151,B,ILMU KEHUTANAN,R,,A,269
54153,B,KONSERVASI SUMBER DAYA LAHAN,D,,A,
54157,B,MANAJEMEN PERKEBUNAN,D,,A,
54162,B,KESEHATAN MASYARAKAT VETERINER,P,,A,
54201,C,AGRIBISNIS,D,,A,245
54211,C,AGROTEKNOLOGI,D,,A,246
54231,C,PETERNAKAN,P,,A,259
54241,C,ILMU KELAUTAN,O,,A,262
54242,C,MANAJEMEN SUMBER DAYA PERAIRAN,O,,A,263
54243,C,BUDIDAYA PERAIRAN,O,,A,264
54244,C,TEKNOLOGI HASIL PERIKANAN,O,,A,265
54245,C,AGROBISNIS PERIKANAN,O,,A,266
54246,C,PEMANFAATAN SUMBER DAYA PERIKANAN,O,,A,267
54251,C,KEHUTANAN,R,,A,270
54261,C,PENDIDIKAN DOKTER HEWAN,P,,A,
54271,C,BUDIDAYA PERKEBUNAN,D,,A,
54312,D,TEKNOLOGI INDUSTRI HORTIKULTURA,D,,A,
54331,D,TEKNOLOGI PAKAN TERNAK,P,,A,
54357,D,MANAJEMEN PERKEBUNAN,D,,A,
54371,D,BUDIDAYA PERKEBUNAN,D,,A,
54401,E,SOSIAL EKONOMI PERTANIAN (AGROBISNIS),D,,A,247
54403,E,PENYULUHAN DAN KOMUNIKASI PERTANIAN,D,,A,249
54411,E,AGRONOMI,D,,A,250
54412,E,HORTIKULTURA,D,,A,251
54413,E,PEMULIAAN TANAMAN,D,,A,252
54414,E,ARSITEKTUR LANSEKAP,D,,A,253
54415,E,ILMU TANAH,D,,A,254
54416,E,BUDIDAYA PERTANIAN,D,,A,255
54417,E,HAMA DAN PENYAKIT TUMBUHAN,D,,A,256
54431,E,NUTRISI DAN MAKANAN TERNAK,P,,A,
54432,E,PRODUKSI TERNAK,P,,A,
54433,E,BUDIDAYA TERNAK,P,,A,
54434,E,TEKNOLOGI HASIL TERNAK,P,,A,
54435,E,SOSIAL EKONOMI PETERNAKAN,P,,A,
54442,E,SUMBER DAYA PERAIRAN,O,,A,
54443,E,BUDIDAYA PERAIRAN,O,,A,
54444,E,TEKNOLOGI HASIL PERIKANAN,O,,A,
54445,E,AGRIBISNIS PERIKANAN,O,,A,
54446,E,PEMANFAATAN SUMBER DAYA PERIKANAN,O,,A,
54451,E,TEKNOLOGI HASIL HUTAN,R,,A,271
54452,E,BUDIDAYA HUTAN,R,,A,272
54453,E,KONSERVASI SUMBER DAYA HUTAN,R,,A,273
54454,E,MANAJEMEN HUTAN,R,,A,
54457,E,MANAJEMEN PERKEBUNAN,D,,A,
54461,E,KESEHATAN HEWAN,P,,A,
54471,E,BUDIDAYA TANAMAN PERKEBUNAN,D,,A,
54533,F,AGRIBISNIS PETERNAKAN,P,,A,
54534,F,TEKNOLOGI HASIL TERNAK,P,,A,
54555,F,PENYULUHAN KEHUTANAN,R,,A,
54961,J,PROFESI DOKTER HEWAN,P,,A,
55001,A,ILMU KOMPUTER,E,,A,274
55101,B,TEKNIK INFORMATIKA,E,,A,275
55201,C,TEKNIK INFORMATIKA,E,,A,276
55301,D,TEKNIK INFORMATIKA,E,,A,277
55401,E,TEKNIK INFORMATIKA,E,,A,278
55601,G,TEKNIK INFORMATIKA,E,,A,
56101,B,SISTEM KOMPUTER,E,,A,279
56201,C,SISTEM KOMPUTER,E,,A,280
